dept_id,name_ko,kind,college,department,major,list_url,link_selector,content_selector,url_prefix,fetch_type,login,seed_pages,discord_channel_id,discord_role_id,icon_url,active,note,fetch_config
mysoongsil,사회과학대학 사회복지학부,major,사회과학대학,사회복지학부,,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
pubad,사회과학대학 행정학부,major,사회과학대학,행정학부,,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
politics,사회과학대학 정치외교학과,major,사회과학대학,정치외교학과,,https://politics.ssu.ac.kr/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
inso,사회과학대학 정보사회학과,major,사회과학대학,정보사회학과,,http://inso.ssu.ac.kr/sub/sub04_01.php?category=%ED%95%99%EA%B3%BC%EA%B3%B5%EC%A7%80,tbody > tr > td.subject > a,#con_area > div.board_view + div.view_content,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
masscom,사회과학대학 언론홍보학과,major,사회과학대학,언론홍보학과,,https://masscom.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/%ed%95%99%eb%b6%80%ea%b3%b5%ec%a7%80/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
lifelongedu,사회과학대학 평생교육학과,major,사회과학대학,평생교육학과,,http://lifelongedu.ssu.ac.kr/bbs/board.php?bo_table=univ,,,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,셀렉터 미정,
eco,경제통상대학 경제학과,major,경제통상대학,경제학과,,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice,tbody > tr > td > div > a,#bo_v,,html,0,3,1355609054629593289,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
gtrade,경제통상대학 글로벌통상학과,major,경제통상대학,글로벌통상학과,,https://gtrade.ssu.ac.kr/%ed%95%99%eb%b6%80%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
ecofinance,경제통상대학 금융경제학과,major,경제통상대학,금융경제학과,,https://ecofinance.ssu.ac.kr/board/notice,tbody > tr > td.td-title > a,#post-content,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
itrans,경제통상대학 국제무역학과,major,경제통상대학,국제무역학과,,https://itrans.ssu.ac.kr/community/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
biz,경영대학 경영학부,major,경영대학,경영학부,,http://biz.ssu.ac.kr/bbs/list.do?bId=BBS_03_NOTICE,li > div > a,#contents,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
accounting,경영대학 회계학과,major,경영대학,회계학과,,https://accounting.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
ensb,경영대학 벤처중소기업학과,major,경영대학,벤처중소기업학과,,https://ensb.ssu.ac.kr/%ed%95%99%eb%b6%80%ec%95%8c%eb%a6%bc/%ed%95%99%eb%b6%80%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,table > tbody > tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
finance,경영대학 금융학부,major,경영대학,금융학부,,https://finance.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
mgmt,경영대학 벤처경영학과,major,경영대학,벤처경영학과,,https://mgmt.ssu.ac.kr/%ed%95%99%ec%82%ac%ec%95%88%eb%82%b4/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,body > div.container.ssu02_bg01 > div > section > div.sub_wrap > div.card_wrap > div > a,body > div.container.ssu02_bg01 > div > section > div.sub_wrap > div.table_wrap > table > tbody,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
innobiz,경영대학 혁신경영학과,major,경영대학,혁신경영학과,,https://innobiz.ssu.ac.kr/%ed%95%99%ec%82%ac%ec%95%88%eb%82%b4/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
bokjimgt,경영대학 복지경영학과,major,경영대학,복지경영학과,,https://bokjimgt.ssu.ac.kr/%ed%95%99%ec%82%ac%ec%95%88%eb%82%b4/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
actx,경영대학 회계세무학과,major,경영대학,회계세무학과,,https://actx.ssu.ac.kr/%ed%95%99%ec%82%ac%ec%95%88%eb%82%b4/m2sub1/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
chemeng,공과대학 화학공학과,major,공과대학,화학공학과,,http://chemeng.ssu.ac.kr/sub/sub03_01.php,table > tbody > tr > td.subject > a,#contentArea > div.real-cont > div > div.board-view,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
materials,공과대학 신소재공학과,major,공과대학,신소재공학과,,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51,,#sub_contents > div > div.conbody > div.sub0501_view_wrap > div > div > div.tit_box + div.view_box,,dom_materials,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
ee,공과대학 전기공학부,major,공과대학,전기공학부,,http://ee.ssu.ac.kr/sub/sub05_02.php,ul > li > div.subject > a,#contArea > div > div.board-view,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
me,공과대학 기계공학부,major,공과대학,기계공학부,,https://me.ssu.ac.kr/notice/notice01.php,table > tbody > tr > td.subject > a,#inner_wrap > div.sub_con > div > div.view_tit + div.view_date + div.view_con,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
